RE,chp,state,city,fuel,technology,id,capacity_n,capacity_g,chp_capaci,efficiency,Efficien_2
DE10,no,Bayern,Merching,Hydro,Run-of-river,BNA1210,12.0,0.0,0.0,0.0,0.8
DE10,no,Bayern,Mindelheim,Oil,Steam turbine,BNA1212,11.4,0.0,0.0,0.0,0.37
DE10,no,Bayern,Neuburg an der Donau,Hydro,Run-of-river,BNA0689,20.2,0.0,0.0,0.0,0.8
DE10,no,Bayern,Oberndorf,Hydro,Run-of-river,BNA1221,11.9,0.0,0.0,0.0,0.8
DE10,no,Bayern,Pforzen,Oil,Steam turbine,BNA1227,11.4,0.0,0.0,0.0,0.37
DE10,no,Bayern,Rain,Hydro,Run-of-river,BNA1235,10.9,0.0,0.0,0.0,0.8
DE10,no,Bayern,Rennertshofen,Hydro,Run-of-river,BNA1239,18.9,0.0,0.0,0.0,0.8
DE10,no,Bayern,Ro?haupten,Hydro,Run-of-river,BNA0847,45.5,0.0,0.0,0.0,0.8
DE10,no,Bayern,Scheuring,Hydro,Run-of-river,BNA1246,12.2,0.0,0.0,0.0,0.8
DE10,no,Bayern,Schmiechen-Unterbergen,Hydro,Run-of-river,BNA1247,12.4,0.0,0.0,0.0,0.8
DE10,no,Bayern,Waltenhofen-Veits,Oil,Gas turbine,BNA1007a,24.0,0.0,0.0,0.0,0.35
DE10,no,Bayern,Waltenhofen-Veits,Oil,Steam turbine,BNA1007b,10.5,0.0,0.0,0.0,0.36
DE10,yes,Bayern,Augsburg,Natural gas,Gas turbine,BNA0033,28.8,0.0,0.0,0.0,0.39
DE10,yes,Bayern,Augsburg,Natural gas,Steam turbine,BNA1103,29.0,0.0,0.0,0.0,0.35
DE10,yes,Bayern,Augsburg,Natural gas,Steam turbine,BNA1104,18.0,0.0,0.0,0.0,0.36
DE10,yes,Bayern,Augsburg,Waste,Steam turbine,BNA1295,10.0,0.0,0.0,0.0,0.33
DE11,no,Baden-W?rttemberg,Karlsruhe,Natural gas,Combined cycle,BNA0514,353.0,363.0,0.0,0.57,0.53
DE11,no,Baden-W?rttemberg,Mannheim,Biomass and biogas,Steam turbine,BNA0636,17.9,0.0,0.0,0.0,0.38
DE11,no,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0638,2.8,0.0,0.0,0.0,0.33
DE11,no,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0640,8.7,0.0,0.0,0.0,0.33
DE11,no,Baden-W?rttemberg,Marbach,Oil,Combined cycle,BNA0648,85.0,88.18,0.0,0.0,0.38
DE11,no,Baden-W?rttemberg,Marbach,Oil,Combined cycle,BNA0649,262.0,271.82,0.0,0.0,0.38
DE11,no,Baden-W?rttemberg,Marbach,Oil,Gas turbine,BNA0647,77.4,0.0,0.0,0.0,0.3
DE11,no,Baden-W?rttemberg,Neckarwestheim,Nuclear,Steam turbine,BNA0686,1310.0,1400.0,0.0,0.0,0.33
DE11,no,Baden-W?rttemberg,Philippsburg,Nuclear,Steam turbine,BNA0802,1402.0,1468.0,0.0,0.0,0.33
DE11,no,Baden-W?rttemberg,Walheim,Hard coal,Steam turbine,BNA1005,96.0,107.0,0.0,0.0,0.45
DE11,no,Baden-W?rttemberg,Walheim,Hard coal,Steam turbine,BNA1006,148.0,160.0,0.0,0.0,0.45
DE11,no,Baden-W?rttemberg,Walheim,Oil,Gas turbine,BNA1004,136.0,143.0,0.0,0.0,0.33
DE11,yes,Baden-W?rttemberg,Heidelberg,Natural gas,Steam turbine,BNA1151,13.5,0.0,0.0,0.0,0.39
DE11,yes,Baden-W?rttemberg,Heilbronn,Hard coal,Steam turbine,BNA0432,125.0,125.0,28.0,0.0,0.45
DE11,yes,Baden-W?rttemberg,Heilbronn,Hard coal,Steam turbine,BNA0433,125.0,125.0,28.0,0.0,0.45
DE11,yes,Baden-W?rttemberg,Heilbronn,Hard coal,Steam turbine,BNA0434,778.0,816.0,550.0,0.0,0.45
DE11,yes,Baden-W?rttemberg,Karlsruhe,Biomass and biogas,Steam turbine,BNA0520,78.0,0.0,0.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Karlsruhe,Hard coal,Steam turbine,BNA0518a,505.0,550.0,220.0,0.0,0.44
DE11,yes,Baden-W?rttemberg,Karlsruhe,Hard coal,Steam turbine,BNA0518b,842.0,912.0,220.0,0.46,0.46
DE11,yes,Baden-W?rttemberg,Karlsruhe,Natural gas,Steam turbine,BNA0515,37.0,0.0,0.0,0.0,0.37
DE11,yes,Baden-W?rttemberg,Karlsruhe,Oil,Steam turbine,BNA0516,45.0,0.0,0.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Karlsruhe,Oil,Steam turbine,BNA0517,25.0,0.0,0.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Mannheim,Biomass and biogas,Steam turbine,BNA0637,59.2,0.0,0.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0642,202.5,0.0,0.0,0.0,0.34
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0643,202.5,0.0,0.0,0.0,0.35
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0644,255.0,280.0,0.0,0.0,0.44
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0645,425.0,475.0,500.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0646a,435.0,480.0,500.0,0.0,0.41
DE11,yes,Baden-W?rttemberg,Mannheim,Hard coal,Steam turbine,BNA0646b,843.0,911.0,0.0,0.46,0.46
DE11,yes,Baden-W?rttemberg,Mannheim,Natural gas,Combined cycle,BNA1200,17.2,0.0,0.0,0.0,0.56
DE11,yes,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0639,5.6,0.0,0.0,0.0,0.33
DE11,yes,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0641a,22.1,0.0,0.0,0.0,0.33
DE11,yes,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0641b,8.1,0.0,0.0,0.0,0.33
DE11,yes,Baden-W?rttemberg,Mannheim,Waste,Steam turbine,BNA0641c,5.8,0.0,0.0,0.0,0.33
DE11,yes,Baden-W?rttemberg,Pforzheim,Biomass and biogas,Steam turbine,BNA0797,12.3,0.0,0.0,0.0,0.38
DE11,yes,Baden-W?rttemberg,Pforzheim,Hard coal,Steam turbine,BNA0801,26.9,0.0,0.0,0.0,0.4
DE11,yes,Baden-W?rttemberg,Pforzheim,Natural gas,Combined cycle,BNA0800,41.2,0.0,0.0,0.0,0.45
DE11,yes,Baden-W?rttemberg,Pforzheim,Natural gas,Steam turbine,BNA0799,11.3,0.0,0.0,0.0,0.35
DE11,yes,Baden-W?rttemberg,Weinheim,Natural gas,Steam turbine,BNA1275,21.0,0.0,0.0,0.0,0.39
DE11,yes,Baden-W?rttemberg,Weinheim,Natural gas,Steam turbine,BNA1276,21.0,0.0,0.0,0.0,0.37
DE12,no,Baden-W?rttemberg,Altbach,Natural gas,Gas turbine,BNA0016,50.0,60.28,0.0,0.0,0.3
DE12,no,Baden-W?rttemberg,Altbach,Natural gas,Gas turbine,BNA0017,57.0,68.72,0.0,0.0,0.31
DE12,no,Baden-W?rttemberg,Altbach,Natural gas,Gas turbine,BNA0018,81.0,97.65,0.0,0.0,0.32
DE12,no,Baden-W?rttemberg,Bad S?ckingen,Hydro,Pumped storage,BNA0046,360.0,370.0,0.0,0.0,0.75
DE12,no,Baden-W?rttemberg,Dettingen,Hydro,Run-of-river,BNA1126,11.0,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Forbach,Hydro,Run-of-river,BNA0278,22.0,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Forbach,Hydro,Run-of-river,BNA0279,43.0,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Grenzach-Wyhlen,Hydro,Run-of-river,BNA0362,37.9,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,H?usern,Hydro,Pumped storage,BNA0426,100.0,145.0,0.0,0.0,0.75
DE12,no,Baden-W?rttemberg,Iffezheim,Hydro,Run-of-river,BNA0494,146.0,152.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Kirchdorf,Hydro,Run-of-river,BNA1175,14.2,0.0,0.0,0.0,0.8
DE12,no,Baden-W?rttemberg,Metzingen-Glems,Hydro,Run-of-river,BNA0669,90.0,0.0,0.0,0.74,0.8
DE12,no,Baden-W?rttemberg,Stuttgart,Natural gas,Gas turbine,BNA0933,55.0,0.0,0.0,0.0,0.31
DE12,no,Baden-W?rttemberg,Stuttgart,Oil,Gas turbine,BNA0937,23.3,24.73,0.0,0.23,0.31
DE12,no,Baden-W?rttemberg,Stuttgart,Oil,Gas turbine,BNA0938,23.3,24.73,0.0,0.23,0.31
DE12,no,Baden-W?rttemberg,Stuttgart,Oil,Gas turbine,BNA0939b,23.3,24.73,0.0,0.23,0.31
