RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE03,no,Th?ringen,Hohenwarte,Hydro,Pumped storage,317.8,320.0,0.0
DE03,no,Th?ringen,Hohenwarte,Hydro,Run-of-river,59.8,0.0,0.0
DE03,no,Th?ringen,Schleiz,Hydro,Run-of-river,79.8,0.0,0.0
DE03,yes,Sachsen-Anhalt,Barby,Natural gas,Steam turbine,18.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Bernburg,Natural gas,Combined cycle,66.0,101.29,0.0
DE03,yes,Sachsen-Anhalt,Bernburg,Waste,Combined cycle,35.0,53.71,0.0
DE03,yes,Sachsen-Anhalt,Bitterfeld,Natural gas,Combined cycle,106.0,114.0,110.0
DE03,yes,Sachsen-Anhalt,Bitterfeld - Wolfen,Waste,Steam turbine,9.9,0.0,0.0
DE03,yes,Sachsen-Anhalt,Dessau-Ro?lau,Lignite,Steam turbine,49.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Halle,Natural gas,Combined cycle,54.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Halle,Natural gas,Steam turbine,97.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,K?nnern,Lignite,Steam turbine,20.3,0.0,0.0
DE03,yes,Sachsen-Anhalt,Leuna,Natural gas,Combined cycle,159.0,177.99,0.0
DE03,yes,Sachsen-Anhalt,Leuna,Oil,Combined cycle,92.5,162.0,208.0
DE03,yes,Sachsen-Anhalt,Leuna,Other fossil fuels,Combined cycle,8.7,0.0,0.0
DE03,yes,Sachsen-Anhalt,L?tzen OT Zorbau,Waste,Steam turbine,25.4,0.0,0.0
DE03,yes,Sachsen-Anhalt,Mumsdorf,Lignite,Steam turbine,60.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Schkopau,Lignite,Steam turbine,900.0,980.0,200.0
DE03,yes,Sachsen-Anhalt,Seegebiet Mansfelder Land,Lignite,Steam turbine,49.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Sta?furt,Natural gas,Combined cycle,132.0,134.0,160.0
DE03,yes,Sachsen-Anhalt,Sta?furt,Waste,Steam turbine,24.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Teuchern,Lignite,Steam turbine,67.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,W?hlitz,Lignite,Steam turbine,31.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Zeitz,Lignite,Steam turbine,36.0,0.0,0.0
DE03,yes,Sachsen-Anhalt,Zeitz,Oil,Steam turbine,18.5,0.0,0.0
DE03,yes,Th?ringen,Bad Salzungen,Natural gas,Steam turbine,9.7,0.0,0.0
DE03,yes,Th?ringen,Blankenstein,Biomass and biogas,Steam turbine,53.5,0.0,0.0
DE03,yes,Th?ringen,Eisenach,Natural gas,Steam turbine,22.1,0.0,0.0
DE03,yes,Th?ringen,Erfurt,Natural gas,Combined cycle,109.1,118.6,0.0
DE03,yes,Th?ringen,Erfurt,Natural gas,Steam turbine,11.0,0.0,0.0
DE03,yes,Th?ringen,Gera,Natural gas,Steam turbine,74.0,0.0,0.0
DE03,yes,Th?ringen,Jena,Natural gas,Combined cycle,182.0,203.97,225.0
DE03,yes,Th?ringen,Rudolstadt,Natural gas,Steam turbine,26.5,0.0,0.0
DE03,yes,Th?ringen,Suhl,Natural gas,Steam turbine,13.5,0.0,0.0
DE03,yes,Th?ringen,Unterbreizbach,Natural gas,Steam turbine,33.6,0.0,0.0
DE03,yes,Th?ringen,Zella-Mehlis,Waste,Steam turbine,11.2,0.0,0.0
DE04,no,Bayern,Essenbach,Hydro,Run-of-river,17.8,0.0,0.0
DE04,no,Sachsen,Boxberg,Lignite,Steam turbine,640.0,675.0,0.0
DE04,no,Sachsen,Gro?bothen,Oil,Steam turbine,17.0,0.0,0.0
DE04,no,Sachsen,Markersbach,Hydro,Pumped storage,1045.2,1050.0,0.0
DE04,no,Sachsen,Niederwartha,Hydro,Run-of-river,39.8,0.0,0.0
DE04,no,Sachsen,Spreetal,Natural gas,Combined cycle,50.0,0.0,0.0
DE04,yes,Brandenburg,Brandenburg,Natural gas,Steam turbine,36.0,0.0,0.0
DE04,yes,Brandenburg,Cottbus,Lignite,Steam turbine,74.0,0.0,0.0
DE04,yes,Brandenburg,Gro?r?schen,Waste,Steam turbine,23.3,0.0,0.0
DE04,yes,Brandenburg,Peitz,Lignite,Steam turbine,2790.0,3210.0,457.8
DE04,yes,Brandenburg,Schwarzheide,Natural gas,Combined cycle,122.0,124.0,209.0
DE04,yes,Brandenburg,Spremberg,Lignite,Steam turbine,1500.0,1600.0,120.0
DE04,yes,Brandenburg,Spremberg,Waste,Steam turbine,18.7,0.0,0.0
DE04,yes,Sachsen,Boxberg,Lignite,Steam turbine,1787.0,1907.0,125.0
DE04,yes,Sachsen,B?hlen,Lignite,Steam turbine,1750.0,1867.2,460.0
DE04,yes,Sachsen,Chemnitz,Lignite,Steam turbine,147.6,100.0,0.0
DE04,yes,Sachsen,Chemnitz,Natural gas,Steam turbine,57.2,0.0,0.0
DE04,yes,Sachsen,Dresden,Natural gas,Combined cycle,263.0,270.0,455.0
DE04,yes,Sachsen,Eilenburg,Natural gas,Steam turbine,46.6,0.0,0.0
DE04,yes,Sachsen,Freiberg,Natural gas,Steam turbine,13.4,0.0,0.0
DE04,yes,Sachsen,Kriebstein,Natural gas,Combined cycle,12.8,0.0,0.0
DE04,yes,Sachsen,Lauta,Waste,Steam turbine,15.7,0.0,0.0
DE04,yes,Sachsen,Leipzig,Natural gas,Combined cycle,167.0,174.0,200.0
DE04,yes,Sachsen,Leppersdorf,Natural gas,Steam turbine,36.0,0.0,0.0
DE04,yes,Sachsen,Moritzburg,Natural gas,Steam turbine,34.3,0.0,0.0
DE04,yes,Sachsen,Wei?enborn,Natural gas,Steam turbine,13.5,0.0,0.0
DE04,yes,Sachsen,Zwickau,Natural gas,Steam turbine,12.9,0.0,0.0
DE04,yes,Sachsen-Anhalt,Wittenberg/ Piesteritz,Biomass and biogas,Steam turbine,18.1,0.0,0.0
DE05,no,Niedersachsen,Lingen,Nuclear,Steam turbine,1336.0,1400.0,0.0
DE05,yes,Niedersachsen,Emlichheim,Biomass and biogas,Steam turbine,30.6,0.0,0.0
DE05,yes,Niedersachsen,Lingen,Natural gas,Combined cycle,1837.0,1864.0,124.0
DE05,yes,Niedersachsen,Lingen,Natural gas,Steam turbine,66.0,0.0,0.0
DE05,yes,Niedersachsen,Nortrup,Natural gas,Steam turbine,18.1,0.0,0.0
DE05,yes,Nordrhein-Westfalen,Ibbenb?ren,Hard coal,Steam turbine,794.0,838.0,20.0
DE05,yes,Nordrhein-Westfalen,Ibbenb?ren,Other fossil fuels,Steam turbine,33.4,0.0,0.0
DE06,no,Nordrhein-Westfalen,Datteln,Hard coal,Steam turbine,113.0,0.0,0.0
DE06,no,Nordrhein-Westfalen,Duisburg,Hard coal,Steam turbine,129.0,0.0,0.0
DE06,no,Nordrhein-Westfalen,D?sseldorf,Natural gas,Gas turbine,131.4,134.0,0.0
DE06,no,Nordrhein-Westfalen,D?sseldorf,Oil,Gas turbine,86.2,0.0,0.0
DE06,no,Nordrhein-Westfalen,D?sseldorf,Waste,Steam turbine,48.9,0.0,0.0
DE06,no,Nordrhein-Westfalen,Frimmersdorf,Lignite,Steam turbine,647.0,0.0,0.0
DE06,no,Nordrhein-Westfalen,Gelsenkirchen,Hard coal,Steam turbine,676.0,0.0,0.0
DE06,no,Nordrhein-Westfalen,Grevenbroich,Lignite,Steam turbine,2100.0,2200.0,0.0
DE06,no,Nordrhein-Westfalen,Grevenbroich-Frimmersdorf,Lignite,Steam turbine,1077.0,310.0,0.0
DE06,no,Nordrhein-Westfalen,Grevenbroich-Neurath,Lignite,Steam turbine,857.0,936.0,0.0
DE06,no,Nordrhein-Westfalen,Herdecke,Hydro,Pumped storage,153.0,153.0,0.0
DE06,no,Nordrhein-Westfalen,Herdecke,Natural gas,Combined cycle,417.0,424.0,0.0
