class,Sink,Sink,Sink,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer
label,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
source,B_DE153_dhg_hhg,B_DE153_dhg_ind,B_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
target,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,B_DE152_dhg_el,B_DE152_dhg_gas_th,B_DE152_dhg_el,B_DE152_dhg_hc_th,B_DE152_dhg_el,B_DE152_dhg_gas_th
attribute,actual_value,actual_value,actual_value,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors
2050-01-03 03:00:00+00:00,1,0.5597074485,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 04:00:00+00:00,1,0.5739425102,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 05:00:00+00:00,1,0.6058667295,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 06:00:00+00:00,1,0.6745299682,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 07:00:00+00:00,1,0.765945755,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 08:00:00+00:00,1,0.8189608928,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 09:00:00+00:00,1,0.8435320747,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 10:00:00+00:00,1,0.8656304379,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 11:00:00+00:00,1,0.8766076592,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 12:00:00+00:00,1,0.8799832529,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 13:00:00+00:00,1,0.8683387631,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 14:00:00+00:00,1,0.8547578862,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 15:00:00+00:00,1,0.8469600031,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 16:00:00+00:00,1,0.8584605723,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 17:00:00+00:00,1,0.9042011749,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 18:00:00+00:00,1,0.9006162421,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 19:00:00+00:00,1,0.8781515354,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 20:00:00+00:00,1,0.8398163049,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 21:00:00+00:00,1,0.8083761824,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 22:00:00+00:00,1,0.7969671992,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-03 23:00:00+00:00,1,0.7402493753,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 00:00:00+00:00,1,0.7037851134,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 01:00:00+00:00,1,0.6739935367,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 02:00:00+00:00,1,0.6551660975,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-04 03:00:00+00:00,1,0.6473943819,1,0.55,0.26,0.4,0.48,0.38,0.42
