,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,,,### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,GL,,,R_,B_,_ur,_ur,Source,R_DEGL_ur,R_DEGL_ur,B_DEGL_ur,,,,,,,,5.96,,,,,,,,,
,DE,GL,,,R_,B_,_li,_li,Source,R_DEGL_li,R_DEGL_li,B_DEGL_li,,,,,,,,27.59,,,,,,,,,
,DE,GL,,,R_,B_,_hc,_hc,Source,R_DEGL_hc,R_DEGL_hc,B_DEGL_hc,,,,,,,,45.87,,,,,,,,,
,DE,GL,,,R_,B_,_gas,_gas,Source,R_DEGL_gas,R_DEGL_gas,B_DEGL_gas,,,,,,,,54.05,,,,,,,,,
,DE,GL,,,R_,B_,_oil,_oil,Source,R_DEGL_oil,R_DEGL_oil,B_DEGL_oil,,,,,,,,86.87,,,,,,,,,
,DE,GL,,,R_,B_,_mf,_mf,Source,R_DEGL_mf,R_DEGL_mf,B_DEGL_mf,,,,,,,,27.25,,,,,,,,,
,DE,GL,,,R_,B_,_bm,_bm,Source,R_DEGL_bm,R_DEGL_bm,B_DEGL_bm,,,,,,,,27.73,,,,,,,,,
Konvertergas,DE,GL,,,R_,B_,_cg,_cg,Source,R_DEGL_cg,R_DEGL_cg,B_DEGL_cg,,,,,,,,0.01,,,,,,,,,
Abfall (waste),DE,GL,,,R_,B_,_w,_w,Source,R_DEGL_w,R_DEGL_w,B_DEGL_w,,,,,,,,0.01,,,,,,,,,
,,GL,,,R_,B_,_others,_others,Source,R_GL_others,R_GL_others,B_GL_others,,,,,,,,20.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BL-Angeben,NRW,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,### Werte aus der CSV:C:/Users/olga/Desktop/Head_DE/Headmodell/data_basic/BL_Dates_HPP.csv'#$BL_Dates_HPP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,###NRW_01_HHP_w_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_w_hhg,DE,NRW,,_01,HPP_,B_,_w,_w,LinearTransformer,HPP_DENRW_01_w,B_DEGL_w,HPP_DENRW_01_w,,,,,,,,,,,,,,,,,
,DE,NRW,,_01,HPP_,B_,_w,_el,LinearTransformer,HPP_DENRW_01_w,HPP_DENRW_01_w,B_DENRW_el,0.33,418.30,,,,,,,,,,,,,,,
,DE,NRW,,_01,HPP_,B_,_w,_hhg,LinearTransformer,HPP_DENRW_01_w,HPP_DENRW_01_w,B_DENRW_hhg,0.47,595.76,,,,,,,,,,,,,,,
,,,,###NRW_02_HHP_others_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_others_ind,DE,NRW,,_02,HPP_,B_,_others,_others,LinearTransformer,HPP_DENRW_02_others,B_DEGL_others,HPP_DENRW_02_others,,,,,,,,,,,,,,,,,
,DE,NRW,,_02,HPP_,B_,_others,_el,LinearTransformer,HPP_DENRW_02_others,HPP_DENRW_02_others,B_DENRW_el,0.33,1591.84,,,,,,,,,,,,,,,
