,Land,Region,UnterRegion/Netzart,Nr.Netz,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
BHKW am Hungerkamp,DE,15,3,_dhg,HPP3_bhkw_,B_,_gas,_gas,LinearTransformer,HPP3_bhkw_DE153_dhg_gas,B_DEGL_gas,HPP3_bhkw_DE153_dhg_gas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0137, Braunschweig",DE,15,3,_dhg,HPP3_bhkw_,B_,_gas,_el,LinearTransformer,HPP3_bhkw_DE153_dhg_gas,HPP3_bhkw_DE153_dhg_gas,B_DE15_dhg_el,0.40,1.90,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0137, Braunschweig",DE,15,3,_dhg,HPP3_bhkw_,B_,_gas,_hhg,LinearTransformer,HPP3_bhkw_DE153_dhg_gas,HPP3_bhkw_DE153_dhg_gas,B_DE153_dhg_hhg,0.50,2.10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,15,3,_dhg,LD_,B_,_hhg,_hhg,Sink,LD_DE153_dhg_hhg,B_DE153_dhg_hhg,LD_DE153_dhg_hhg,,,,,,seq,,,TRUE,,,,,,,,
"Hier keine seq,nur zum test",DE,15,3,_dhg,LD_,B_,_ind,_ind,Sink,LD_DE153_dhg_ind,B_DE153_dhg_ind,LD_DE153_dhg_ind,,,,,,seq,,,TRUE,,,,,,,,
"Hier keine seq,nur zum test",DE,15,,_dhg,LD_,B_,_el,_el,Sink,LD_DE15_dhg_el,B_DE15_dhg_el,LD_DE15_dhg_el,,,,,,seq,,,TRUE,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,3,_dhg,R_,B_,_x,_hhg,Source,R_DE153_dhg_x,R_DE153_dhg_x,B_DE153_dhg_hhg,,,,,,,,10000.00,,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,3,_dhg,R_,B_,_x,_ind,Source,R_DE153_dhg_x,R_DE153_dhg_x,B_DE153_dhg_ind,,,,,,,,10000.00,,,,,,,,,
