,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,DE,NRW,,_06,HPP_,B_,_li,_hhg,LinearTransformer,HPP_DENRW_06_li,HPP_DENRW_06_li,B_DENRW_hhg,0.43,1310.244,,,,,,,,,,,,,,,
,,,,###NRW_07_HHP_li_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_li_ind,DE,NRW,,_07,HPP_,B_,_li,_li,LinearTransformer,HPP_DENRW_07_li,B_DEGL_li,HPP_DENRW_07_li,,,,,,,,,,,,,,,,,
,DE,NRW,,_07,HPP_,B_,_li,_el,LinearTransformer,HPP_DENRW_07_li,HPP_DENRW_07_li,B_DENRW_el,0.38,110.300,,,,,,,,,,,,,,,
,DE,NRW,,_07,HPP_,B_,_li,_ind,LinearTransformer,HPP_DENRW_07_li,HPP_DENRW_07_li,B_DENRW_ind,0.43,125.012,,,,,,,,,,,,,,,
,,,,###NRW_08_HHP_hc_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_hc_hhg,DE,NRW,,_08,HPP_,B_,_hc,_hc,LinearTransformer,HPP_DENRW_08_hc,B_DEGL_hc,HPP_DENRW_08_hc,,,,,,,,,,,,,,,,,
,DE,NRW,,_08,HPP_,B_,_hc,_el,LinearTransformer,HPP_DENRW_08_hc,HPP_DENRW_08_hc,B_DENRW_el,0.39,7304.000,,,,,,,,,,,,,,,
,DE,NRW,,_08,HPP_,B_,_hc,_hhg,LinearTransformer,HPP_DENRW_08_hc,HPP_DENRW_08_hc,B_DENRW_hhg,0.44,5829.292,,,,,,,,,,,,,,,
,,,,###NRW_09_HHP_hc_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_hc_ind,DE,NRW,,_09,HPP_,B_,_hc,_hc,LinearTransformer,HPP_DENRW_09_hc,B_DEGL_hc,HPP_DENRW_09_hc,,,,,,,,,,,,,,,,,
,DE,NRW,,_09,HPP_,B_,_hc,_el,LinearTransformer,HPP_DENRW_09_hc,HPP_DENRW_09_hc,B_DENRW_el,0.33,565.446,,,,,,,,,,,,,,,
,DE,NRW,,_09,HPP_,B_,_hc,_ind,LinearTransformer,HPP_DENRW_09_hc,HPP_DENRW_09_hc,B_DENRW_ind,0.47,1118.325,,,,,,,,,,,,,,,
,,,,###NRW_10_HHP_bm_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_bm_hhg,DE,NRW,,_10,HPP_,B_,_bm,_bm,LinearTransformer,HPP_DENRW_10_bm,B_DEGL_bm,HPP_DENRW_10_bm,,,,,,,,,,,,,,,,,
,DE,NRW,,_10,HPP_,B_,_bm,_el,LinearTransformer,HPP_DENRW_10_bm,HPP_DENRW_10_bm,B_DENRW_el,0.38,20.000,,,,,,,,,,,,,,,
,DE,NRW,,_10,HPP_,B_,_bm,_hhg,LinearTransformer,HPP_DENRW_10_bm,HPP_DENRW_10_bm,B_DENRW_hhg,0.42,22.105,,,,,,,,,,,,,,,
,,,,###NRW_11_HHP_bm_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HHP_bm_ind,DE,NRW,,_11,HPP_,B_,_bm,_bm,LinearTransformer,HPP_DENRW_11_bm,B_DEGL_bm,HPP_DENRW_11_bm,,,,,,,,,,,,,,,,,
,DE,NRW,,_11,HPP_,B_,_bm,_el,LinearTransformer,HPP_DENRW_11_bm,HPP_DENRW_11_bm,B_DENRW_el,0.38,44.100,,,,,,,,,,,,,,,
,DE,NRW,,_11,HPP_,B_,_bm,_ind,LinearTransformer,HPP_DENRW_11_bm,HPP_DENRW_11_bm,B_DENRW_ind,0.42,48.742,,,,,,,,,,,,,,,
,,,,### Werte aus der CSV:C:/Users/olga/Desktop/Head_DE/Headmodell/data_basic/BL_Dates_HPP.csv'#$BL_Dates_non_HPP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,###NRW_01_HW_hc_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_hc_ind,DE,NRW,,_01,HW_,B_,_hc,_hc,LinearTransformer,HW_DENRW_01_hc,B_DEGL_hc,HW_DENRW_01_hc,,,,,,,,,,,,,,,,,
,DE,NRW,,_01,HW_,B_,_hc,_ind,LinearTransformer,HW_DENRW_01_hc,HW_DENRW_01_hc,B_DENRW_ind,0.80,2884.52,,,,,,,,,,,,,,,
,,,,###NRW_02_HW_hc_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_hc_hhg,DE,NRW,,_02,HW_,B_,_hc,_hc,LinearTransformer,HW_DENRW_02_hc,B_DEGL_hc,HW_DENRW_02_hc,,,,,,,,,,,,,,,,,
,DE,NRW,,_02,HW_,B_,_hc,_hhg,LinearTransformer,HW_DENRW_02_hc,HW_DENRW_02_hc,B_DENRW_hhg,0.80,301.42,,,,,,,,,,,,,,,
,,,,###NRW_03_HW_li_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_li_ind,DE,NRW,,_03,HW_,B_,_li,_li,LinearTransformer,HW_DENRW_03_li,B_DEGL_li,HW_DENRW_03_li,,,,,,,,,,,,,,,,,
,DE,NRW,,_03,HW_,B_,_li,_ind,LinearTransformer,HW_DENRW_03_li,HW_DENRW_03_li,B_DENRW_ind,0.80,836.87,,,,,,,,,,,,,,,
,,,,###NRW_04_HW_li_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_li_hhg,DE,NRW,,_04,HW_,B_,_li,_li,LinearTransformer,HW_DENRW_04_li,B_DEGL_li,HW_DENRW_04_li,,,,,,,,,,,,,,,,,
,DE,NRW,,_04,HW_,B_,_li,_hhg,LinearTransformer,HW_DENRW_04_li,HW_DENRW_04_li,B_DENRW_hhg,0.80,272.10,,,,,,,,,,,,,,,
,,,,###NRW_05_HW_oil_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_oil_ind,DE,NRW,,_05,HW_,B_,_oil,_oil,LinearTransformer,HW_DENRW_05_oil,B_DEGL_oil,HW_DENRW_05_oil,,,,,,,,,,,,,,,,,
,DE,NRW,,_05,HW_,B_,_oil,_ind,LinearTransformer,HW_DENRW_05_oil,HW_DENRW_05_oil,B_DENRW_ind,0.83,630.56,,,,,,,,,,,,,,,
,,,,###NRW_06_HW_oil_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_oil_hhg,DE,NRW,,_06,HW_,B_,_oil,_oil,LinearTransformer,HW_DENRW_06_oil,B_DEGL_oil,HW_DENRW_06_oil,,,,,,,,,,,,,,,,,
,DE,NRW,,_06,HW_,B_,_oil,_hhg,LinearTransformer,HW_DENRW_06_oil,HW_DENRW_06_oil,B_DENRW_hhg,0.83,8357.67,,,,,,,,,,,,,,,
,,,,###NRW_07_HW_lgas_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_lgas_ind,DE,NRW,,_07,HW_,B_,_lgas,_lgas,LinearTransformer,HW_DENRW_07_lgas,B_DEGL_lgas,HW_DENRW_07_lgas,,,,,,,,,,,,,,,,,
,DE,NRW,,_07,HW_,B_,_lgas,_ind,LinearTransformer,HW_DENRW_07_lgas,HW_DENRW_07_lgas,B_DENRW_ind,0.83,175.68,,,,,,,,,,,,,,,
,,,,###NRW_08_HW_lgas_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_lgas_hhg,DE,NRW,,_08,HW_,B_,_lgas,_lgas,LinearTransformer,HW_DENRW_08_lgas,B_DEGL_lgas,HW_DENRW_08_lgas,,,,,,,,,,,,,,,,,
,DE,NRW,,_08,HW_,B_,_lgas,_hhg,LinearTransformer,HW_DENRW_08_lgas,HW_DENRW_08_lgas,B_DENRW_hhg,0.83,521.98,,,,,,,,,,,,,,,
,,,,###NRW_09_HW_gas_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_gas_ind,DE,NRW,,_09,HW_,B_,_gas,_gas,LinearTransformer,HW_DENRW_09_gas,B_DEGL_gas,HW_DENRW_09_gas,,,,,,,,,,,,,,,,,
,DE,NRW,,_09,HW_,B_,_gas,_ind,LinearTransformer,HW_DENRW_09_gas,HW_DENRW_09_gas,B_DENRW_ind,0.84,6476.01,,,,,,,,,,,,,,,
,,,,###NRW_10_HW_gas_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_gas_hhg,DE,NRW,,_10,HW_,B_,_gas,_gas,LinearTransformer,HW_DENRW_10_gas,B_DEGL_gas,HW_DENRW_10_gas,,,,,,,,,,,,,,,,,
,DE,NRW,,_10,HW_,B_,_gas,_hhg,LinearTransformer,HW_DENRW_10_gas,HW_DENRW_10_gas,B_DENRW_hhg,0.84,21299.18,,,,,,,,,,,,,,,
,,,,###NRW_11_HW_cg_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_cg_ind,DE,NRW,,_11,HW_,B_,_cg,_cg,LinearTransformer,HW_DENRW_11_cg,B_DEGL_cg,HW_DENRW_11_cg,,,,,,,,,,,,,,,,,
,DE,NRW,,_11,HW_,B_,_cg,_ind,LinearTransformer,HW_DENRW_11_cg,HW_DENRW_11_cg,B_DENRW_ind,0.84,860.19,,,,,,,,,,,,,,,
,,,,###NRW_13_HW_bm_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_bm_ind,DE,NRW,,_13,HW_,B_,_bm,_bm,LinearTransformer,HW_DENRW_13_bm,B_DEGL_bm,HW_DENRW_13_bm,,,,,,,,,,,,,,,,,
,DE,NRW,,_13,HW_,B_,_bm,_ind,LinearTransformer,HW_DENRW_13_bm,HW_DENRW_13_bm,B_DENRW_ind,0.80,307.47,,,,,,,,,,,,,,,
,,,,###NRW_14_HW_bm_hhg,,,,,,,,,,,,,,,,,,,,,,,,,
HW_bm_hhg,DE,NRW,,_14,HW_,B_,_bm,_bm,LinearTransformer,HW_DENRW_14_bm,B_DEGL_bm,HW_DENRW_14_bm,,,,,,,,,,,,,,,,,
,DE,NRW,,_14,HW_,B_,_bm,_hhg,LinearTransformer,HW_DENRW_14_bm,HW_DENRW_14_bm,B_DENRW_hhg,0.80,1271.47,,,,,,,,,,,,,,,
,,,,###NRW_15_HW_others_ind,,,,,,,,,,,,,,,,,,,,,,,,,
HW_others_ind,DE,NRW,,_15,HW_,B_,_others,_others,LinearTransformer,HW_DENRW_15_others,B_DEGL_others,HW_DENRW_15_others,,,,,,,,,,,,,,,,,
,DE,NRW,,_15,HW_,B_,_others,_ind,LinearTransformer,HW_DENRW_15_others,HW_DENRW_15_others,B_DENRW_ind,0.80,479.38,,,,,,,,,,,,,,,
,,,,###Verteilung,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,NRW,,,VER_,B_,_hhg,_hhg,LinearTransformer,VER_DENRW_hhg,B_DENRW_hhg,VER_DENRW_hhg,,,,,,,,,,,,,,,,,
,DE,NRW,150,,VER_,B_,_hhg,_hhg,LinearTransformer,VER_DENRW_hhg,VER_DENRW_hhg,B_DE150_hhg,0.07,2813.897,,,,,,,,,,,,,,,
,DE,NRW,restNRW,,VER_,B_,_hhg,_hhg,LinearTransformer,VER_DENRW_hhg,VER_DENRW_hhg,B_DErestNRW_hhg,0.93,39103.103,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,NRW,,,VER_,B_,_ind,_ind,LinearTransformer,VER_DENRW_ind,B_DENRW_ind,VER_DENRW_ind,,,,,,,,,,,,,,,,,
,DE,NRW,150,,VER_,B_,_ind,_ind,LinearTransformer,VER_DENRW_ind,VER_DENRW_ind,B_DE150_ind,0.07,1129.162,,,,,,,,,,,,,,,
