,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,###DE15_0_4_kwk_hc,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,GD_,B_,_hc,_hc,LinearTransformer,GD_DENI_4_hc,B_DEGL_hc,GD_DENI_4_hc,,,,,,,,,,,,,,,,,
HPP_hc,,NI,,,GD_,,,,,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,GD_,B_,_hc,_el,LinearTransformer,GD_DENI_4_hc,GD_DENI_4_hc,B_DENI_el,0.40,40.000,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,GD_,B_,_hc,_th,LinearTransformer,GD_DENI_4_hc,GD_DENI_4_hc,B_DENI_4_th,0.40,40.000,,,,,,,,,,,,,,,
HPP_hc,,NI,,_4,,,,,,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,HPP_,B_,_th,_th,LinearTransformer,HPP_DENI_4_th,B_DENI_4_th,HPP_DENI_4_th,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,HPP_,B_,_th,_ind,LinearTransformer,HPP_DENI_4_th,HPP_DENI_4_th,B_DENI_ind,1.00,40.000,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_4,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DENI_4_th,HPP_DENI_4_th,B_DENI_hhg,0.00,0.000,,,,,,,,,,,,,,,
,,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,###DE15_0_5_kwk_w,,,,,,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,GD_,B_,_w,_w,LinearTransformer,GD_DENI_5_w,B_DEGL_w,GD_DENI_5_w,,,,,,,,,,,,,,,,,
HPP_w,,NI,,,GD_,,,,,,,,,,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,GD_,B_,_w,_el,LinearTransformer,GD_DENI_5_w,GD_DENI_5_w,B_DENI_el,0.33,14.700,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,GD_,B_,_w,_th,LinearTransformer,GD_DENI_5_w,GD_DENI_5_w,B_DENI_5_th,0.47,20.940,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,HPP_,B_,_th,_th,LinearTransformer,HPP_DENI_5_th,B_DENI_5_th,HPP_DENI_5_th,,,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,HPP_,B_,_th,_ind,LinearTransformer,HPP_DENI_5_th,HPP_DENI_5_th,B_DENI_ind,1.00,20.940,,,,,,,,,,,,,,,
HPP_w,DE,NI,,_5,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DENI_5_th,HPP_DENI_5_th,B_DENI_hhg,0.00,0.000,,,,,,,,,,,,,,,
,,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_0_6_hw,,,,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_6,HW_,B_,_gas,_gas,LinearTransformer,HW_DENI_6_gas,B_DEGL_gas,HW_DENI_6_gas,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_6,HW_,B_,_gas,_hhg,LinearTransformer,HW_DENI_6_gas,HW_DENI_6_gas,B_DENI_hhg,0.84,11979.072,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_0_7_HW_bm,,,,,,,,,,,,,,,,,,,,
HPP_bm,DE,NI,,_7,HW_,B_,_bm,_bm,LinearTransformer,HW_DENI_7_bm,B_DEGL_bm,HW_DENI_7_bm,,,,,,,,,,,,,,,,,
HPP_bm,DE,NI,,_7,HW_,B_,_bm,_hhg,LinearTransformer,HW_DENI_7_bm,HW_DENI_7_bm,B_DENI_hhg,0.80,1767.096,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_0_8_HW_hc,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_8,HW_,B_,_hc,_hc,LinearTransformer,HW_DENI_8_hc,B_DEGL_hc,HW_DENI_8_hc,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_8,HW_,B_,_hc,_hhg,LinearTransformer,HW_DENI_8_hc,HW_DENI_8_hc,B_DENI_hhg,0.80,107.040,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NI,,,,,,,##DE15_0_9_HW_oil,,,,,,,,,,,,,,,,,,,,
HPP_hc,DE,NI,,_9,HW_,B_,_oil,_oil,LinearTransformer,HW_DENI_9_oil,B_DEGL_oil,HW_DENI_9_oil,,,,,,,,,,,,,,,,,
