,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
"BNA0419, Linden",DE,15,1,_3,EK_,B_,_gas,_el,LinearTransformer,EK_DE151_3_gas,EK_DE151_3_gas,B_DE15_el,0.38,120.00,,,,,,,,,,,,,,,
"BNA0419, Linden",DE,15,1,_3,EK_,B_,_gas,_th,LinearTransformer,EK_DE151_3_gas,EK_DE151_3_gas,B_DE151_3_th,0.42,280.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,Cex_3_,B_,_gas,_th,Sink,Cex_3_DE151_3_gas,B_DE151_3_th,Cex_3_DE151_3_gas,,,,280.00,,,,0.00,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,HPP_,B_,_th,_th,LinearTransformer,HPP_DE151_3_th,B_DE151_3_th,HPP_DE151_3_th,,,,,,,,,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DE151_3_th,HPP_DE151_3_th,B_DE151_hhg,1.00,280.00,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,15,1,,LD_,B_,_hhg,_hhg,Sink,LD_DE151_hhg,B_DE151_hhg,LD_DE151_hhg,,174.68,,,,seq,,,TRUE,,,,,,,,
"Hier keine seq,nur zum test",DE,15,1,,LD_,B_,_ind,_ind,Sink,LD_DE151_ind,B_DE151_ind,LD_DE151_ind,,11.90,,,,seq,,,TRUE,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,1,,R_,B_,_hhg,_hhg,Source,R_DE151_hhg,R_DE151_hhg,B_DE151_hhg,,,,,,,,10000.00,,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,1,,R_,B_,_ind,_ind,Source,R_DE151_ind,R_DE151_ind,B_DE151_ind,,,,,,,,10000.00,,,,,,,,,
