id,region
1111111,DE21
1111112,DE20
1112110,DE21
1112111,DE21
1112112,DE20
1113109,DE21
1113110,DE21
1113111,DE20
1114108,DE21
1114109,DE21
1114110,DE20
1114111,DE20
1115105,DE21
1115106,DE21
1115107,DE21
1115108,DE21
1115109,DE20
1115110,DE20
1116105,DE21
1116106,DE21
1116107,DE21
1116108,DE21
1116109,DE20
1117084,DE09
1117085,DE09
1117086,DE09
1117087,DE08
1117088,DE08
1117089,DE06
1117090,DE06
1117091,DE06
1117092,DE06
1117093,DE06
1117104,DE21
1117105,DE21
1117106,DE21
1117107,DE21
1117108,DE20
1117109,DE20
1117110,DE20
1118081,DE09
1118082,DE09
1118083,DE09
1118084,DE09
1118085,DE09
1118086,DE08
1118087,DE08
1118088,DE08
1118089,DE08
1118090,DE06
1118091,DE06
1118092,DE06
1118093,DE06
1118102,DE21
1118103,DE21
1118104,DE21
1118105,DE21
1118106,DE21
1118107,DE20
1118108,DE20
1118109,DE20
1118110,DE20
1119081,DE09
1119082,DE09
1119083,DE09
1119084,DE09
1119085,DE08
1119086,DE08
1119087,DE08
1119088,DE08
1119089,DE08
1119090,DE06
1119091,DE06
1119092,DE06
1119093,DE06
1119094,DE06
1119096,DE05
1119100,DE21
1119101,DE21
1119102,DE21
1119103,DE21
1119104,DE21
1119105,DE21
1119106,DE21
1119107,DE20
1119108,DE20
1119109,DE20
1120080,DE09
1120081,DE09
1120082,DE09
1120083,DE09
1120084,DE09
1120085,DE09
1120086,DE08
1120087,DE08
1120088,DE08
1120089,DE06
1120090,DE06
1120091,DE06
1120092,DE06
1120093,DE06
1120094,DE06
1120095,DE05
1120096,DE05
1120097,DE05
1120099,DE14
1120100,DE14
1120101,DE21
1120102,DE21
1120103,DE21
1120104,DE21
1120105,DE21
1120106,DE20
1120107,DE20
1120108,DE20
1120109,DE20
1121073,DE12
1121074,DE12
1121075,DE12
1121076,DE12
1121077,DE12
1121080,DE09
1121081,DE09
1121082,DE09
1121083,DE09
1121084,DE09
1121085,DE09
1121086,DE08
1121087,DE08
1121088,DE08
1121089,DE07
1121090,DE06
1121091,DE07
1121092,DE06
1121093,DE06
1121094,DE05
1121095,DE05
1121096,DE05
1121097,DE05
1121098,DE05
1121099,DE14
1121100,DE14
1121101,DE14
1121102,DE21
1121103,DE21
1121104,DE21
1121105,DE20
1121106,DE20
1121107,DE20
1121108,DE20
1122073,DE12
1122074,DE12
1122075,DE12
1122076,DE12
1122077,DE12
1122078,DE12
1122079,DE12
1122080,DE09
1122081,DE09
1122082,DE09
1122083,DE09
1122084,DE09
1122085,DE08
1122086,DE08
1122087,DE08
1122088,DE08
1122089,DE07
1122090,DE07
1122091,DE07
1122092,DE07
1122093,DE07
1122094,DE05
1122095,DE05
1122096,DE05
1122097,DE05
1122098,DE05
1122099,DE14
1122100,DE14
1122101,DE14
1122102,DE21
1122103,DE21
1122104,DE21
1122105,DE20
1122106,DE20
1122107,DE20
1122108,DE20
1123073,DE12
1123074,DE12
1123075,DE12
1123076,DE12
1123077,DE12
1123078,DE12
1123079,DE12
1123080,DE09
1123081,DE09
1123082,DE09
1123083,DE09
1123084,DE09
1123085,DE09
1123086,DE08
1123087,DE08
1123088,DE07
1123089,DE07
1123090,DE07
1123091,DE07
1123092,DE07
1123093,DE07
1123094,DE05
1123095,DE05
1123096,DE14
1123097,DE14
1123098,DE14
1123099,DE14
1123100,DE14
1123101,DE14
1123102,DE21
1123103,DE21
1123104,DE20
1123105,DE20
1123106,DE20
1123107,DE20
1123108,DE20
1124073,DE12
1124074,DE12
1124075,DE12
1124076,DE12
1124077,DE12
1124078,DE12
1124079,DE11
1124080,DE11
1124081,DE11
1124082,DE11
1124083,DE09
1124084,DE09
1124085,DE16
1124086,DE16
1124087,DE16
1124088,DE16
1124089,DE07
1124090,DE07
1124091,DE07
1124092,DE07
1124093,DE07
1124094,DE05
1124095,DE05
1124096,DE14
1124097,DE14
1124098,DE14
1124099,DE14
1124100,DE14
1124101,DE21
1124102,DE21
1124103,DE20
1124104,DE20
1124105,DE20
1124106,DE20
1124107,DE20
1125074,DE12
1125075,DE12
1125076,DE12
1125077,DE12
1125078,DE12
1125079,DE11
1125080,DE11
1125081,DE11
1125082,DE09
1125083,DE09
1125084,DE09
1125085,DE16
1125086,DE16
1125087,DE16
1125088,DE16
1125089,DE16
1125090,DE16
1125091,DE16
1125092,DE16
1125093,DE15
1125094,DE15
1125095,DE15
1125096,DE14
1125097,DE14
1125098,DE14
1125099,DE14
1125100,DE14
1125101,DE14
1125102,DE21
1125103,DE20
1125104,DE13
1125105,DE20
1125106,DE13
1125107,DE13
1126074,DE12
1126075,DE12
1126076,DE12
1126077,DE12
1126078,DE12
1126079,DE12
1126080,DE11
1126081,DE11
1126082,DE11
1126083,DE17
1126084,DE17
1126085,DE16
1126086,DE16
1126087,DE16
1126088,DE16
1126089,DE16
1126090,DE16
1126091,DE16
1126092,DE16
1126093,DE15
1126094,DE15
1126095,DE15
1126096,DE15
1126097,DE15
1126098,DE14
1126099,DE14
1126100,DE14
1126101,DE14
1126102,DE13
1126103,DE13
1126104,DE13
1126105,DE13
1126106,DE13
1126107,DE13
1127073,DE10
1127074,DE12
1127075,DE12
1127076,DE12
1127077,DE12
1127078,DE12
1127079,DE12
1127080,DE12
1127081,DE11
1127082,DE11
1127083,DE11
1127084,DE17
1127085,DE17
1127086,DE16
1127087,DE16
1127088,DE16
1127089,DE16
1127090,DE16
1127091,DE16
1127092,DE15
1127093,DE15
1127094,DE15
1127095,DE15
1127096,DE15
1127097,DE15
1127098,DE14
1127099,DE14
1127100,DE14
1127101,DE14
1127102,DE13
1127103,DE13
1127104,DE13
1127105,DE13
1127106,DE13
1128073,DE10
1128074,DE12
1128075,DE12
1128076,DE12
1128077,DE12
1128078,DE12
1128079,DE12
1128080,DE12
1128081,DE12
1128082,DE11
1128083,DE17
1128084,DE17
1128085,DE17
1128086,DE16
1128087,DE16
1128088,DE16
1128089,DE16
1128090,DE16
1128091,DE16
1128092,DE15
1128093,DE15
1128094,DE15
1128095,DE15
1128096,DE15
1128097,DE15
1128098,DE15
1128099,DE14
1128100,DE02
1128101,DE13
1128102,DE13
1128103,DE13
1128104,DE13
1128105,DE13
1128106,DE19
1129072,DE10
1129073,DE10
1129074,DE10
1129075,DE10
1129076,DE10
1129077,DE10
1129078,DE12
1129079,DE12
1129080,DE12
1129081,DE17
1129082,DE17
1129083,DE17
1129084,DE17
1129085,DE17
1129086,DE17
1129087,DE03
1129088,DE03
1129089,DE03
1129090,DE03
1129091,DE16
1129092,DE15
1129093,DE15
1129094,DE15
1129095,DE15
1129096,DE15
1129097,DE15
1129098,DE15
1129099,DE14
1129100,DE02
1129101,DE13
1129102,DE13
1129103,DE13
1129104,DE13
1129105,DE19
1129106,DE19
1130072,DE10
1130073,DE10
1130074,DE10
1130075,DE10
1130076,DE10
1130077,DE10
1130078,DE10
1130079,DE10
1130080,DE17
1130081,DE17
1130082,DE17
1130083,DE17
1130084,DE17
1130085,DE17
1130086,DE03
1130087,DE03
1130088,DE03
1130089,DE03
1130090,DE03
1130091,DE03
1130092,DE15
1130093,DE15
1130094,DE15
1130095,DE15
1130096,DE15
1130097,DE15
1130098,DE15
1130099,DE14
1130100,DE13
1130101,DE13
1130102,DE13
1130103,DE13
1130104,DE19
1130105,DE19
1131072,DE18
1131073,DE10
1131074,DE18
1131075,DE18
1131076,DE10
1131077,DE10
1131078,DE10
1131079,DE10
1131080,DE17
1131081,DE17
1131082,DE17
1131083,DE17
1131084,DE17
1131085,DE17
1131086,DE03
1131087,DE03
1131088,DE03
1131089,DE03
1131090,DE03
1131091,DE03
1131092,DE03
1131093,DE03
1131094,DE15
1131095,DE15
1131096,DE15
1131097,DE01
1131098,DE15
1131099,DE14
1131100,DE01
1131101,DE01
1131102,DE01
1131103,DE19
1131104,DE13
1131105,DE19
1132072,DE18
1132073,DE18
1132074,DE18
1132075,DE18
1132076,DE18
1132077,DE18
1132078,DE10
1132079,DE17
1132080,DE17
1132081,DE17
1132082,DE17
1132083,DE17
1132084,DE17
1132085,DE17
1132086,DE03
1132087,DE03
1132088,DE03
1132089,DE03
1132090,DE03
1132091,DE03
1132092,DE03
1132093,DE01
1132094,DE01
1132095,DE01
1132096,DE01
1132097,DE01
1132098,DE15
1132099,DE01
1132100,DE01
1132101,DE01
1132102,DE01
1132103,DE19
1132104,DE19
1132105,DE13
1133073,DE18
1133074,DE18
1133075,DE18
1133076,DE18
1133077,DE18
1133078,DE18
1133079,DE17
1133080,DE17
1133081,DE17
1133082,DE17
1133083,DE17
1133084,DE17
1133085,DE17
1133086,DE17
1133087,DE03
1133088,DE03
1133089,DE03
1133090,DE03
1133091,DE03
1133092,DE03
1133093,DE03
1133094,DE01
1133095,DE01
1133096,DE01
1133097,DE01
1133098,DE01
1133099,DE01
1133100,DE01
1133101,DE01
1133102,DE01
1133103,DE01
1133104,DE19
1134073,DE18
1134074,DE18
1134075,DE18
1134076,DE18
1134077,DE18
1134078,DE18
1134079,DE18
1134080,DE17
1134081,DE17
1134082,DE17
1134083,DE17
1134084,DE17
1134085,DE17
1134086,DE17
1134087,DE03
1134088,DE03
1134089,DE03
1134090,DE03
1134091,DE03
1134092,DE03
1134093,DE01
1134094,DE01
1134095,DE01
1134096,DE01
1134097,DE01
1134098,DE01
1134099,DE01
1134100,DE01
1134101,DE01
1134102,DE01
1134103,DE01
1134104,DE19
1134105,DE19
1135073,DE18
1135074,DE18
1135075,DE18
1135076,DE18
1135077,DE18
1135078,DE18
1135079,DE17
1135080,DE17
1135081,DE17
1135082,DE17
1135083,DE17
1135084,DE17
1135085,DE03
1135086,DE03
1135087,DE03
1135088,DE04
1135089,DE04
1135090,DE04
1135091,DE04
1135092,DE03
1135093,DE01
1135094,DE01
1135095,DE01
1135096,DE01
1135097,DE01
1135098,DE01
1135099,DE01
1135100,DE01
1135101,DE01
1135102,DE01
1135103,DE01
1135104,DE01
1135105,DE19
1135106,DE19
1136074,DE18
1136075,DE18
1136076,DE18
1136077,DE18
1136078,DE18
1136079,DE18
1136080,DE18
1136081,DE18
1136082,DE17
1136083,DE17
1136084,DE17
1136086,DE03
1136087,DE04
1136088,DE04
1136089,DE04
1136090,DE04
1136091,DE04
1136092,DE04
1136093,DE04
1136094,DE01
1136095,DE01
1136096,DE01
1136097,DE01
1136098,DE01
1136099,DE01
1136100,DE01
1136101,DE01
1136102,DE01
1136103,DE01
1136104,DE01
1136105,DE19
1136106,DE19
1136107,DE19
1137073,DE18
1137074,DE18
1137075,DE18
1137076,DE18
1137077,DE18
1137078,DE18
1137079,DE18
1137080,DE18
1137081,DE18
1137082,DE18
1137086,DE04
1137087,DE04
1137088,DE04
1137089,DE04
1137090,DE04
1137091,DE04
1137092,DE04
1137093,DE01
1137094,DE01
1137095,DE01
1137096,DE01
1137097,DE01
1137098,DE01
1137099,DE01
1137100,DE01
1137101,DE01
1137102,DE01
1137103,DE01
1137104,DE01
1137105,DE01
1137106,DE19
1137107,DE19
1138073,DE18
1138074,DE18
1138075,DE18
1138076,DE18
1138077,DE18
1138078,DE18
1138079,DE18
1138080,DE18
1138081,DE18
1138087,DE04
1138088,DE04
1138089,DE04
1138090,DE04
1138091,DE04
1138092,DE04
1138093,DE01
1138094,DE01
1138095,DE01
1138096,DE01
1138097,DE01
1138098,DE01
1138099,DE01
1138100,DE01
1138101,DE01
1138102,DE01
1138103,DE01
1138104,DE19
1138105,DE01
1138106,DE19
1138107,DE19
1139077,DE18
1139078,DE18
1139079,DE18
1139080,DE18
1139087,DE04
1139088,DE04
1139089,DE04
1139090,DE04
1139091,DE04
1139092,DE04
1139093,DE01
1139094,DE01
1139095,DE01
1139096,DE01
1139097,DE01
1139098,DE01
1139099,DE01
1139100,DE01
1139101,DE01
1139102,DE01
1139103,DE19
1139104,DE19
1139105,DE19
1139106,DE19
1139107,DE19
1140078,DE18
1140079,DE18
1140088,DE04
1140089,DE04
1140090,DE04
1140091,DE04
1140092,DE04
1140093,DE04
1140094,DE01
1140095,DE01
1140096,DE01
1140097,DE01
1140098,DE01
1140099,DE01
1140100,DE01
1140101,DE01
1140102,DE01
1140103,DE01
1140104,DE19
1140105,DE19
1140106,DE19
1141088,DE04
1141089,DE04
1141090,DE04
1141091,DE04
1141092,DE04
1141093,DE04
1141094,DE01
1141095,DE01
1141096,DE01
1141097,DE01
1141104,DE19
1141105,DE19
1142088,DE04
1142089,DE04
1142090,DE04
1142091,DE04
1142092,DE04
1142093,DE04
1142094,DE01
1143089,DE04
1143090,DE04
1143091,DE04
